schema,table,column,type,mandatory,description
refs_fishery,fad_tail_designs,name_en,character varying(255),YES,
refs_fishery,fad_tail_designs,name_fr,character varying(255),YES,
refs_fishery,fad_tail_designs,description_en,character varying(4096),YES,
refs_fishery,fad_tail_designs,description_fr,character varying(4096),YES,
refs_fishery,fish_preservation_methods,code,character(2),YES,
refs_fishery,fish_preservation_methods,name_en,character varying(255),YES,
refs_fishery,fish_preservation_methods,name_fr,character varying(255),YES,
refs_fishery,fish_preservation_methods,code_orig,character(3),YES,
refs_fishery,fish_preservation_methods,description_en,character varying(4096),YES,
refs_fishery,fish_preservation_methods,description_fr,character varying(4096),YES,
refs_fishery,fish_processing_types,code,character(2),YES,
refs_fishery,fish_processing_types,name_en,character varying(255),YES,
refs_fishery,fish_processing_types,name_fr,character varying(255),YES,
refs_fishery,fish_processing_types,description_fr,character varying(4096),YES,
refs_fishery,fish_processing_types,description_en,character varying(4096),YES,
refs_fishery,fish_storage_types,code,character(2),YES,
refs_fishery,fish_storage_types,name_en,character varying(255),YES,
refs_fishery,fish_storage_types,name_fr,character varying(255),YES,
refs_fishery,fish_storage_types,description_en,character varying(4096),YES,
refs_fishery,fish_storage_types,description_fr,character varying(4096),YES,
refs_fishery,fisheries,code,character varying(64),YES,
refs_fishery,fisheries,name_en,character varying(255),YES,
refs_fishery,fisheries,name_fr,character varying(255),YES,
refs_fishery,fisheries,fishery_category_code,character varying(16),YES,
refs_fishery,fisheries,fishery_type_code,character(2),YES,
refs_fishery,fisheries,gear_code,character varying(16),YES,
refs_fishery,fisheries,gear_configuration_code,character(2),NO,
refs_fishery,fisheries,fishing_mode_code,character(2),NO,
refs_fishery,fisheries,target_species_code,character(2),NO,
refs_fishery,fisheries,iotdb_gear_code,character varying(6),NO,
refs_fishery,fisheries,iotc_fishery_code,character varying(16),NO,
refs_fishery,fisheries,description_fr,character varying(4096),YES,
refs_fishery,fisheries,description_en,character varying(4096),YES,
refs_fishery,float_types,code,character(2),YES,
refs_fishery,float_types,code_orig,character(3),YES,
refs_fishery,float_types,name_en,character varying(255),YES,
refs_fishery,float_types,name_fr,character varying(255),YES,
refs_fishery,float_types,description_en,character varying(4096),YES,
refs_fishery,float_types,description_fr,character varying(4096),YES,
refs_fishery,fob_activity_types,code,character(2),YES,
refs_fishery,fob_activity_types,name_en,character varying(255),YES,
refs_fishery,fob_activity_types,name_fr,character varying(255),YES,
refs_fishery,fob_activity_types,dfob,smallint,YES,
refs_fishery,fob_activity_types,afob,smallint,YES,
refs_fishery,fob_activity_types,description_fr,character varying(4096),YES,
refs_fishery,fob_activity_types,description_en,character varying(4096),YES,
refs_fishery,fob_types,code,character varying(5),YES,
refs_fishery,fob_types,name_en,character varying(255),YES,
refs_fishery,fob_types,name_fr,character varying(255),YES,
refs_fishery,fob_types,dfob,smallint,YES,
refs_fishery,fob_types,description_fr,character varying(4096),YES,
refs_fishery,fob_types,description_en,character varying(4096),YES,
refs_fishery,gear_types_deprecated,code,character(3),YES,
refs_fishery,gear_types_deprecated,name_en,character varying(255),YES,
refs_fishery,gear_types_deprecated,name_fr,character varying(255),YES,
refs_fishery,hook_and_terminal_devices,code,character(3),YES,
refs_fishery,hook_and_terminal_devices,name_en,character varying(255),YES,
refs_fishery,hook_and_terminal_devices,name_fr,character varying(255),YES,
refs_fishery,hook_and_terminal_devices,description_en,character varying(4096),YES,
refs_fishery,hook_and_terminal_devices,description_fr,character varying(4096),YES,
refs_fishery,hull_material_types,code,character(2),YES,
refs_fishery,hull_material_types,code_orig,character(3),YES,
refs_fishery,hull_material_types,name_en,character varying(255),YES,
refs_fishery,hull_material_types,name_fr,character varying(255),YES,
refs_fishery,hull_material_types,description_en,character varying(4096),YES,
refs_fishery,hull_material_types,description_fr,character varying(4096),YES,
refs_fishery,light_colours,code,character(2),YES,
refs_fishery,light_colours,name_en,character varying(255),YES,
refs_fishery,light_colours,name_fr,character varying(255),YES,
refs_fishery,light_colours,description_en,character varying(4096),YES,
refs_fishery,light_colours,description_fr,character varying(4096),YES,
refs_fishery,light_types,code,character(2),YES,
refs_fishery,light_types,name_en,character varying(255),YES,
refs_fishery,light_types,name_fr,character varying(255),YES,
refs_fishery,light_types,description_en,character varying(4096),YES,
refs_fishery,light_types,description_fr,character varying(4096),YES,
refs_fishery,line_material_types,code,character(2),YES,
refs_fishery,line_material_types,code_orig,character(3),YES,
refs_fishery,line_material_types,name_en,character varying(255),YES,
refs_fishery,line_material_types,name_fr,character varying(255),YES,
refs_fishery,line_material_types,description_en,character varying(4096),YES,
refs_fishery,line_material_types,description_fr,character varying(4096),YES,
refs_fishery,mechanisation_types,code,character(2),YES,
refs_fishery,mechanisation_types,name_en,character varying(255),YES,
refs_fishery,mechanisation_types,name_fr,character varying(255),YES,
refs_fishery,mechanisation_types,is_mechanized,smallint,YES,
refs_fishery,mechanisation_types,description_en,character varying(4096),YES,
refs_fishery,mechanisation_types,description_fr,character varying(4096),YES,
refs_fishery,mitigation_devices,code,character(2),YES,
refs_fishery,mitigation_devices,code_orig,character(3),YES,
refs_fishery,mitigation_devices,name_en,character varying(255),YES,
refs_fishery,mitigation_devices,name_fr,character varying(255),YES,
refs_fishery,mitigation_devices,description_en,character varying(4096),YES,
refs_fishery,mitigation_devices,description_fr,character varying(4096),YES,
refs_fishery,net_colours,code,character(2),YES,
refs_fishery,net_colours,code_orig,character(3),YES,
refs_fishery,net_colours,name_en,character varying(255),YES,
refs_fishery,net_colours,name_fr,character varying(255),YES,
refs_fishery,net_colours,description_en,character varying(4096),YES,
refs_fishery,net_colours,description_fr,character varying(4096),YES,
refs_fishery,net_conditions,code,character(2),YES,
refs_fishery,net_conditions,code_orig,character(3),YES,
refs_fishery,net_conditions,name_en,character varying(255),YES,
refs_fishery,net_conditions,name_fr,character varying(255),YES,
refs_fishery,net_conditions,description_en,character varying(255),NO,
refs_fishery,net_conditions,description_fr,character varying(255),NO,
refs_fishery,net_configurations,code,character(2),YES,
refs_fishery,net_configurations,name_en,character varying(255),YES,
refs_fishery,net_configurations,name_fr,character varying(255),YES,
refs_fishery,net_configurations,description_en,character varying(4096),YES,
refs_fishery,net_configurations,description_fr,character varying(4096),YES,
refs_fishery,net_deploy_depths,code,character(2),YES,
refs_fishery,net_deploy_depths,code_orig,character(3),YES,
refs_fishery,net_deploy_depths,name_en,character varying(255),YES,
refs_fishery,net_deploy_depths,name_fr,character varying(255),YES,
refs_fishery,net_deploy_depths,description_en,character varying(4096),YES,
refs_fishery,net_deploy_depths,description_fr,character varying(4096),YES,
refs_fishery,net_material_types,code,character(2),YES,
refs_fishery,net_material_types,code_orig,character varying(3),YES,
refs_fishery,net_material_types,name_en,character varying(255),YES,
refs_fishery,net_material_types,name_fr,character varying(255),YES,
refs_fishery,net_material_types,description_en,character varying(4096),YES,
refs_fishery,net_material_types,description_fr,character varying(4096),YES,
refs_fishery,net_setting_strategies,code,character(2),YES,
refs_fishery,net_setting_strategies,code_orig,character(3),YES,
refs_fishery,net_setting_strategies,name_en,character varying(255),YES,
refs_fishery,net_setting_strategies,name_fr,character varying(255),YES,
refs_fishery,net_setting_strategies,description_en,character varying(4096),YES,
refs_fishery,net_setting_strategies,description_fr,character varying(4096),YES,
refs_fishery,offal_management_types,code,character(2),YES,
refs_fishery,offal_management_types,code_orig,character varying(16),YES,
refs_fishery,offal_management_types,name_en,character varying(255),YES,
refs_fishery,offal_management_types,name_fr,character varying(255),YES,
refs_fishery,offal_management_types,description_en,character varying(4096),YES,
refs_fishery,offal_management_types,description_fr,character varying(4096),YES,
refs_fishery,pole_material_types,code,character(2),YES,
refs_fishery,pole_material_types,code_orig,character varying(16),YES,
refs_fishery,pole_material_types,name_en,character varying(255),YES,
refs_fishery,pole_material_types,name_fr,character varying(255),YES,
refs_fishery,pole_material_types,description_en,character varying(4096),YES,
refs_fishery,pole_material_types,description_fr,character varying(4096),YES,
refs_fishery,reasons_days_lost,code,character(2),YES,
refs_fishery,reasons_days_lost,code_orig,character(3),YES,
refs_fishery,reasons_days_lost,name_en,character varying(255),YES,
refs_fishery,reasons_days_lost,name_fr,character varying(255),YES,
refs_fishery,reasons_days_lost,description_en,character varying(255),NO,
refs_fishery,reasons_days_lost,description_fr,character varying(255),NO,
refs_fishery,school_detection_methods,code,character(2),YES,
refs_fishery,school_detection_methods,code_orig,character varying(3),YES,
refs_fishery,school_detection_methods,name_en,character varying(255),YES,
refs_fishery,school_detection_methods,name_fr,character varying(255),YES,
refs_fishery,school_sighting_cues,code,character(2),YES,
refs_fishery,school_sighting_cues,code_orig,character varying(4),YES,
refs_fishery,school_sighting_cues,name_en,character varying(255),YES,
refs_fishery,school_sighting_cues,name_fr,character varying(255),YES,
refs_fishery,school_sighting_cues,school_type_category_code,character(2),YES,
refs_fishery,school_sighting_cues,description_en,character varying(4096),YES,
refs_fishery,school_sighting_cues,description_fr,character varying(4096),YES,
refs_fishery,school_type_categories,code,character(2),YES,
refs_fishery,school_type_categories,name_en,character varying(255),YES,
refs_fishery,school_type_categories,name_fr,character varying(255),YES,
refs_fishery,school_type_categories,description_en,character varying(4096),YES,
refs_fishery,school_type_categories,description_fr,character varying(4096),YES,
refs_fishery,sinker_material_types,code,character(2),YES,
refs_fishery,sinker_material_types,code_orig,character(3),YES,
refs_fishery,sinker_material_types,name_en,character varying(255),YES,
refs_fishery,sinker_material_types,name_fr,character varying(255),YES,
refs_fishery,sinker_material_types,description_en,character varying(4096),YES,
refs_fishery,sinker_material_types,description_fr,character varying(4096),YES,
refs_fishery,streamer_types,code,character(2),YES,
refs_fishery,streamer_types,code_orig,character varying(16),YES,
refs_fishery,streamer_types,name_en,character varying(255),YES,
refs_fishery,streamer_types,name_fr,character varying(255),YES,
