schema,table,column,type,mandatory,description
ros_ll,hauling_operations,start_hauling_date_and_time,timestamp(6) without time zone,NO,
ros_ll,hauling_operations,end_hauling_latitude,double precision,NO,
ros_ll,hauling_operations,end_hauling_longitude,double precision,NO,
ros_ll,hauling_operations,start_hauling_latitude,double precision,NO,
ros_ll,hauling_operations,start_hauling_longitude,double precision,NO,
ros_ll,hauling_operations,sampling_protocol_code,character(2),NO,
ros_ll,hauling_operations,bird_scaring_device_at_hauler,character varying(5),NO,
ros_ll,hooks_by_type,id,integer,YES,
ros_ll,hooks_by_type,percentage_of_set,double precision,NO,
ros_ll,hooks_by_type,variations,character varying(255),NO,
ros_ll,hooks_by_type,setting_operation_id,integer,YES,
ros_ll,hooks_by_type,hook_type_code,character(3),NO,
ros_ll,leader_set,id,integer,YES,
ros_ll,leader_set,setting_operation_id,integer,YES,
ros_ll,leader_set,leader_material_type_code,character(2),YES,
ros_ll,leader_set,percentage_of_branchline,double precision,YES,
ros_ll,leader_set,total_branchline_minimum_length_value,double precision,YES,
ros_ll,leader_set,total_branchline_minimum_length_unit,character varying(3),YES,
ros_ll,leader_set,total_branchline_maximum_length_value,double precision,YES,
ros_ll,leader_set,total_branchline_maximum_length_unit,character varying(3),YES,
ros_ll,lights_by_type_and_colour,id,integer,YES,
ros_ll,lights_by_type_and_colour,number_of_lights_by_type_and_colour,integer,NO,
ros_ll,lights_by_type_and_colour,setting_operation_id,integer,YES,
ros_ll,lights_by_type_and_colour,light_colour_code,character(2),NO,
ros_ll,lights_by_type_and_colour,light_type_code,character(2),NO,
ros_ll,mitigation_measures,id,integer,YES,
ros_ll,mitigation_measures,number_of_tori_lines_deployed,integer,NO,
ros_ll,mitigation_measures,percentage_of_branchlines_weighted,double precision,NO,
ros_ll,mitigation_measures,hook_sinker_distance_value,double precision,NO,
ros_ll,mitigation_measures,hook_sinker_distance_unit,character varying(3),NO,
ros_ll,mitigation_measures,average_sinker_weight_value,double precision,NO,
ros_ll,mitigation_measures,average_sinker_weight_unit,character varying(3),NO,
ros_ll,mitigation_measures,branchline_weighted,character varying(5),NO,
ros_ll,mitigation_measures,hooks_set_between_dusk_and_dawn,character varying(5),NO,
ros_ll,mitigation_measures,minimum_deck_lighting_used,character varying(5),NO,
ros_ll,mitigation_measures,hooks_pods,character varying(5),NO,
ros_ll,mitigation_measures_mitigation_devices,mitigation_measure_id,integer,YES,
ros_ll,mitigation_measures_mitigation_devices,mitigation_device_code,character(2),YES,
ros_ll,setting_operations,id,integer,YES,
ros_ll,setting_operations,branchline_clip_on_time,double precision,NO,
ros_ll,setting_operations,buoys_clip_on_time,double precision,NO,
ros_ll,setting_operations,distance_between_branchlines,double precision,NO,
ros_ll,setting_operations,end_setting_date_and_time,timestamp(6) without time zone,NO,
ros_ll,setting_operations,number_of_hooks_set_between_floats,integer,NO,
ros_ll,setting_operations,number_of_shark_lines_set,integer,NO,
ros_ll,setting_operations,start_setting_date_and_time,timestamp(6) without time zone,NO,
ros_ll,setting_operations,total_number_of_floats_set,integer,NO,
ros_ll,setting_operations,total_number_of_hooks_set,integer,NO,
ros_ll,setting_operations,total_radio_dhan_buoys_set,integer,NO,
ros_ll,setting_operations,end_setting_latitude,double precision,NO,
ros_ll,setting_operations,end_setting_longitude,double precision,NO,
ros_ll,setting_operations,start_setting_latitude,double precision,NO,
ros_ll,setting_operations,start_setting_longitude,double precision,NO,
ros_ll,setting_operations,mainline_set_length_value,double precision,NO,
ros_ll,setting_operations,mainline_set_length_unit,character varying(3),NO,
ros_ll,setting_operations,vessel_speed_value,double precision,NO,
ros_ll,setting_operations,vessel_speed_unit,character varying(3),NO,
ros_ll,setting_operations,line_setter_speed_value,double precision,NO,
ros_ll,setting_operations,line_setter_speed_unit,character varying(3),NO,
ros_ll,setting_operations,shark_lines_set,character varying(5),NO,
ros_ll,setting_operations_target_species,setting_operation_id,integer,YES,
ros_ll,setting_operations_target_species,target_species_code,character varying(16),YES,
ros_ll,specimens,id,integer,YES,
ros_ll,specimens,sampling_period,character varying(255),NO,
ros_ll,specimens,specimen_original_id,character varying(255),YES,
ros_ll,specimens,additional_catch_details_on_ssis_id,integer,NO,
ros_ll,specimens,additional_specimen_details_non_target_species_id,integer,NO,
ros_ll,specimens,biometric_information_id,integer,NO,
ros_ll,specimens,depredation_detail_id,integer,NO,
ros_ll,specimens,tag_detail_id,integer,NO,
ros_ll,specimens,catch_detail_id,integer,NO,
ros_ll,tag_details,id,integer,YES,
ros_ll,tag_details,alternate_tag_original_id,character varying(255),NO,
ros_ll,tag_details,tag_original_id,character varying(255),NO,
ros_ll,tag_details,tag_type_code,character(2),NO,
ros_ll,tag_details,tag_finder_id,integer,NO,
ros_ll,tag_details,tag_recovery,character varying(5),NO,
ros_ll,tag_details,tag_release,character varying(5),NO,
ros_ll,tori_line_details,id,integer,YES,
ros_ll,tori_line_details,number_of_streamers_per_line,integer,NO,
ros_ll,tori_line_details,streamer_type,character varying(255),NO,
ros_ll,tori_line_details,towed_objects_number,integer,NO,
