schema,table,foreign_key,columns,target_schema,target_table,target_columns
ros_pl,tuna_fishing_operations,fk_ros_pl_tuna_fishing_operations_bait_used,bait_used,refs_data,logical_responses,code
ros_pl,tuna_fishing_operations,pltnfshngprtbtndcndtnd,bait_and_condition_id,ros_pl,baits_and_conditions,id
ros_pl,tuna_fishing_operations_cl_school_sighting_cues,fk_ros_pl_school_sighting_cue_code_pl_tuna_fishing_operations_c,school_sighting_cue_code,refs_fishery,school_sighting_cues,code
ros_pl,tuna_fishing_operations_cl_school_sighting_cues,pltnfshngpplfshngprtnd,fishing_operation_id,ros_pl,tuna_fishing_operations,id
ros_pl,tuna_fishing_operations_target_species,fk_ros_pl_target_species_code_pl_tuna_fishing_operations_target,target_species_code,refs_biology,species,code
ros_pl,tuna_fishing_operations_target_species,pltnfshpltnfshngprtnd2,tuna_fishing_operation_id,ros_pl,tuna_fishing_operations,id
ros_gn,additional_catch_details_on_ssi,fk_ros_gn_additional_catch_details_on_ssi_brought_on_board,brought_on_board,refs_data,logical_responses,code
ros_gn,additional_catch_details_on_ssi,fk_ros_gn_additional_catch_details_on_ssi_revival,revival,refs_data,logical_responses,code
ros_gn,additional_catch_details_on_ssi,fk_ros_gn_gear_interaction_code_gn_additional_catch_details_on_,gear_interaction_code,refs_biology,gear_interactions,code
ros_gn,additional_catch_details_on_ssi,fk_ros_gn_handling_method_code_gn_additional_catch_details_on_s,handling_method_code,refs_biology,handling_methods,code
ros_gn,catch_details,fk_ros_gn_estimated_weight_sampling_method_code_gn_catch_detail,estimated_weight_sampling_method_code,refs_biology,sampling_methods_for_catch_estimation,code
ros_gn,catch_details,fk_ros_gn_fates_code_gn_catch_details,fates_code|type_of_fate_code,refs_biology,fates,code|type_of_fate_code
ros_gn,catch_details,fk_ros_gn_species_code_gn_catch_details,species_code,refs_biology,species,code
ros_gn,catch_details,gnctchdtlsgnfshngvntid,fishing_event_id,ros_gn,fishing_events,id
ros_gn,fishing_events,fk_ros_gn_fishing_events_trip,trip_id,ros_common,trip,id
ros_gn,fishing_events,gnfshngvntgnsttngprtnd,setting_operation_id,ros_gn,setting_operations,id
ros_gn,fishing_events,gnfshngvntsgnhlngprtnd,hauling_operation_id,ros_gn,hauling_operations,id
ros_gn,fishing_events,gnfshngvntsgnmtgtnmsrd,mitigation_measure_id,ros_gn,mitigation_measures,id
ros_gn,gear_specifications,fk_ros_gn_gear_specifications_net_drum_hauler,net_drum_hauler,refs_data,logical_responses,code
ros_gn,gear_specifications,fk_ros_gn_gear_specifications_trip,trip_id,ros_common,trip,id
ros_gn,gillnet_configuration,fk_ros_gn_float_type_code_gillnet_configuration,float_type_code,refs_fishery,float_types,code
ros_gn,gillnet_configuration,fk_ros_gn_gillnet_configuration_droplines_used,droplines_used,refs_data,logical_responses,code
ros_gn,gillnet_configuration,fk_ros_gn_gillnet_configuration_panels_stacked,panels_stacked,refs_data,logical_responses,code
ros_gn,gillnet_configuration,fk_ros_gn_gillnet_material_type_code_gillnet_configuration,gillnet_material_type_code,refs_fishery,line_material_types,code
ros_gn,gillnet_configuration,gllntcnfggllntcnfgrtnd,gillnet_configuration_id,ros_gn,gear_specifications,id
ros_gn,gillnet_configuration_net_web_colours,fk_ros_gn_net_colour_code_gn_gillnet_configuration_net_web_colo,net_colour_code,refs_fishery,net_colours,code
ros_gn,gillnet_configuration_net_web_colours,gnglgngllntcnfgrtndnwc,gillnet_configuration_id_nwc,ros_gn,gillnet_configuration,id
ros_gn,gillnet_configuration_stretched_mesh_sizes,gnglgngllntcnfgrtndsms,gillnet_configuration_id_sms,ros_gn,gillnet_configuration,id
ros_gn,hauling_operations,fk_ros_gn_net_condition_code_gn_hauling_operations,net_condition_code,refs_fishery,net_conditions,code
ros_gn,hauling_operations,fk_ros_gn_sampling_protocol_code_gn_hauling_operations,sampling_protocol_code,refs_biology,sampling_protocols,code
